id,description,title,repin_count
188658671887847464,Thank you for trusting our edit and allowing SHOP BAZAAR to be a part of your journey. Wishing you and your loved ones the happiest of holidays—the best is yet to come—cheers to an even more stylish 2024!,HAPPY HOLIDAYS,0
188658671887844624,"When planning your warm-weather travels, turn to these lovely escapes for the chicest experience and let our edit inspire your packing list.",SUN-FILLED DESTINATIONS ,0
188658671887841830,"Thanks to these three sustainable brands committed to responsible sourcing, artisan support, and low-impact production, making thoughtful shopping purchases is effortless. Discover your new go-to bag of 2024 you’ll feel extra good about.",DESIGNERS we LOVE,5
188658671887838149,"Hit the slopes with everything you need for the chicest alpine adventure. These soon-to-be bestsellers are the most shopped essentials for ski season. Explore extra warm coats, statement scarves that feel like a warm hug, designer mittens you’ll slip on every day, hydrating hand creams that will keep you protected, and more.",SKI BESTSELLERS,2
188658671887837751,Three red dresses that are ideal for the holidays!,Exquisite Reds,21
188658671887837750,Three red dresses that are ideal for the holidays!,Exquisite Reds,6
188658671887837749,Three red dresses that are ideal for the holidays!,Exquisite Reds,8
188658671887835546,"In just a few short years, Australian-brand ALÉMAIS has become one of the most anticipated brands of the industry. Collaborating with artists, each collection is a spirited escape from the mundane. Learn more about the breakout label with our exclusive interview with Creative Director Lesleigh Jermanus.",ALÉMAIS,1
188658671887831910,"When it comes to incredible cuisine, New York always comes out on top. These are the three new restaurants that have been the talk of the town. Get your reservations in while you can and make an entrance when you finally book a table with three standout looks styled by our editors.",WHAT’S NEW in NEW YORK,1
188658671887828113,Wrap yourself in cozy chic! Our new winter arrivals feature must-haves like this Loewe scarf for the perfect combination of style and warmth!,NEW ARRIVALS,12
188658671887827430,"Handloomed by women artisans in Oaxaca, Mexico, our exclusive Hero from sustainable brand Jaline is exactly what you want to wear when chasing the sun. Crafted from 100% cotton, this skirt features a high-rise silhouette embellished with a hand-knotted macrame fringe. In timeless black, you can go from the beach to the streets with a simple swap of accessories.",JALINE,2
188658671887820348,"The only way to end 2023 and start 2024 is in impeccable style. Turn to our bestsellers for all your New Year’s Eve dressing needs: sequin blazers, festive accessories, feather-accented pajamas sets, and more celebratory essentials.",NEW YEAR’S EVE DRESSING,3
188658671887816622,"Trends come and go, but romantic style is timeless. Inspired by the characters of The Buccaneers, this edit highlights everything we love about the storytelling and costumes of period dramas. Be prepared to be transported to another era with feminine details like lace accents, floral embroidery, and sparkling embellishments.","PAST, PRESENT & FUTURE STYLE",2
188658671887814608,SHOP BAZAAR Editor Jasmine Tuttle shares her style inspiration. Her go-to outfit? A bold pair of denim paired with a statement bag. Her favorite designer? Maison Margiela!,EDITOR'S PICKS,28
188658671887813238,Rhinestone accessories is the perfect addition to any outfit for New Years. This Alexander Wang Heiress Rhinestone Mesh Pouch will be the star of the show!,Rhinestone Bags,7
188658671887813237,"Feathers are a fun, flirty way to add some personality to an outfit, and they can be worn in a variety of different styles!",Feathers Accents,10
188658671887813236,Hair accessories make everything better. From bold ponytail holders and minimal barrettes to playful clips and more!,Bold Hair Accessories,23
188658671887810947,"Edgy streetwear meets refined ready-to-wear with the latest collection from French fashion house Givenchy. The brand's shoes, handbags, dresses, and separates pay close attention to detail, subverting the unexpected at every turn.",GIVENCHY,6
188658671887807339,"You found your dream dress, now what? Earrings. These jewels frame the face and complement the whole look, creating the perfect balance. Become the best dressed person at every formal setting you’re in with our expertly matched edit.",MEET YOUR MATCH,1
188658671887803152,Introducing the most fashionable gifts for everyone—with every taste—on your shopping list. Discover our latest gift guide edit inspired by our December/January issue.,HOLIDAY SPIRIT,1
21181060741261374, ,,0
21181060741258887, ,,0
21181060741249373, ,"Towel Bundle in 2023 | Towel, Rainbow towels, Colorful bath",0
21181060741249372, ,,1
21181060741249367, ,,0
21181060741249364, ,Circus Stripes Ceramic Jar with Lid - Lilac Stripe,0
21181060741235174, ,Little Bow Ornament - Opal,0
21181060741230128, ,Meadow Headpiece in Pink/Orange - Small,0
21181060741230123, ,,1
21181060741230122,"A Lovely Black Hearts Parisian Faux Fur Driving Coat. It’s Soft, Lightly Fuzzy And Lined. Features A Perfectly Suited Turn Down Collar. You Can Take It From Streetwear To The Perfect Evening-Wear Layered Coat. Wear Over A Black Jumpsuit, Slacks Or Any Outfit. Pair With Black Or Tan Driving Gloves In The Winter. Lena Vie Item Available Now True To Size See Sizing Slide Lined S 2/4 M 6/8 L 10 Xl 12 2x 14/16 3x 18",Lena Vie Boutique Jackets & Coats | Marseille Pari Black Hearts Faux Fur Lux Driving Midi Coat In Honey | Color: Black/Cream | Size: Various,1
